Customer ID,Customer Name,Segment
AA-10315,Alex Avila,Consumer
AA-10375,Allen Armold,Consumer
AA-10480,Andrew Allen,Consumer
AA-10645,Anna Andreadi,Consumer
AB-10015,Aaron Bergman,Consumer
AB-10105,Adrian Barton,Consumer
AB-10150,Aimee Bixby,Consumer
AB-10165,Alan Barnes,Consumer
AC-10450,Amy Cox,Consumer
AC-10660,Anna Chung,Consumer
AF-10870,Art Ferguson,Consumer
AF-10885,Art Foster,Consumer
AG-10270,Alejandro Grove,Consumer
AG-10330,Alex Grayson,Consumer
AG-10390,Allen Goldenen,Consumer
AG-10675,Anna Gayman,Consumer
AG-10900,Arthur Gainer,Consumer
AH-10210,Alan Hwang,Consumer
AH-10465,Amy Hunt,Consumer
AH-10585,Angele Hood,Consumer
AI-10855,Arianne Irving,Consumer
AJ-10945,Ashley Jarboe,Consumer
AJ-10960,Astrea Jones,Consumer
AM-10705,Anne McFarland,Consumer
AP-10915,Arthur Prichep,Consumer
AR-10510,Andrew Roberts,Consumer
AR-10540,Andy Reiter,Consumer
AR-10570,Anemone Ratner,Consumer
AS-10090,Adam Shillingsburg,Consumer
AS-10240,Alan Shonely,Consumer
AT-10735,Annie Thurman,Consumer
AW-10840,Anthony Witt,Consumer
AZ-10750,Annie Zypern,Consumer
BD-11320,Bill Donatelli,Consumer
BD-11500,Bradley Drucker,Consumer
BD-11605,Brian Dahlen,Consumer
BD-11620,Brian DeCherney,Consumer
BD-11635,Brian Derr,Consumer
BD-11725,Bruce Degenhardt,Consumer
BD-11770,Bryan Davis,Consumer
BE-11410,Bobby Elias,Consumer
BF-11080,Bart Folk,Consumer
BG-11035,Barry Gonzalez,Consumer
BG-11740,Bruce Geld,Consumer
BH-11710,Brosina Hoffman,Consumer
BK-11260,Berenike Kampe,Consumer
BM-11140,Becky Martin,Consumer
BM-11785,Bryan Mills,Consumer
BN-11515,Bradley Nguyen,Consumer
BO-11425,Bobby Odegard,Consumer
BP-11155,Becky Pak,Consumer
BP-11230,Benjamin Patterson,Consumer
BP-11290,Beth Paige,Consumer
BS-11665,Brian Stugart,Consumer
BS-11755,Bruce Stewart,Consumer
BT-11440,Bobby Trafton,Consumer
BT-11680,Brian Thompson,Consumer
BW-11065,Barry Weirich,Consumer
BW-11200,Ben Wallace,Consumer
CA-12265,Christina Anderson,Consumer
CA-12775,Cynthia Arntzen,Consumer
CB-12025,Cassandra Brandow,Consumer
CB-12415,Christy Brittain,Consumer
CC-12145,Charles Crestani,Consumer
CC-12220,Chris Cortes,Consumer
CC-12370,Christopher Conant,Consumer
CC-12475,Cindy Chapman,Consumer
CC-12550,Clay Cheatham,Consumer
CC-12670,Craig Carreira,Consumer
CC-12685,Craig Carroll,Consumer
CD-11920,Carlos Daly,Consumer
CD-11980,Carol Darley,Consumer
CD-12280,Christina DeMoss,Consumer
CG-12520,Claire Gute,Consumer
CJ-12010,Caroline Jumper,Consumer
CK-12205,Chloris Kastensmidt,Consumer
CK-12595,Clytie Kelty,Consumer
CL-11890,Carl Ludwig,Consumer
CL-12565,Clay Ludtke,Consumer
CM-11935,Carlos Meador,Consumer
CM-12115,Chad McGuire,Consumer
CM-12160,Charles McCrossin,Consumer
CM-12190,Charlotte Melton,Consumer
CM-12235,Chris McAfee,Consumer
CM-12385,Christopher Martinez,Consumer
CM-12445,Chuck Magee,Consumer
Co-12640,Corey-Lock,Consumer
CR-12730,Craig Reiter,Consumer
CS-11860,Cari Schnelling,Consumer
CS-11950,Carlos Soltero,Consumer
CS-12130,Chad Sievert,Consumer
CS-12355,Christine Sundaresam,Consumer
CS-12460,Chuck Sachs,Consumer
CS-12505,Cindy Stewart,Consumer
CT-11995,Carol Triggs,Consumer
CV-12295,Christina VanderZanden,Consumer
DB-13060,Dave Brooks,Consumer
DB-13210,Dean Braden,Consumer
DB-13405,Denny Blanton,Consumer
DB-13615,Doug Bickford,Consumer
DB-13660,Duane Benoit,Consumer
DC-12850,Dan Campbell,Consumer
DC-13285,Debra Catini,Consumer
DD-13570,Dorothy Dickinson,Consumer
DF-13135,David Flashing,Consumer
DJ-13630,Doug Jacobs,Consumer
DK-12895,Dana Kaydos,Consumer
DK-12985,Darren Koutras,Consumer
DK-13090,Dave Kipp,Consumer
DK-13375,Dennis Kane,Consumer
DL-12865,Dan Lawera,Consumer
DL-12925,Daniel Lacy,Consumer
DL-13315,Delfina Latchford,Consumer
DL-13330,Denise Leinenbach,Consumer
DM-13015,Darrin Martin,Consumer
DN-13690,Duane Noonan,Consumer
DO-13435,Denny Ordway,Consumer
DO-13645,Doug O'Connell,Consumer
DP-13000,Darren Powers,Consumer
DP-13165,David Philippe,Consumer
DV-13465,Dianna Vittorini,Consumer
DW-13540,Don Weiss,Consumer
EB-13870,Emily Burns,Consumer
EB-13930,Eric Barreto,Consumer
EB-14110,Eugene Barchas,Consumer
EB-14170,Evan Bailliet,Consumer
EC-14050,Erin Creighton,Consumer
EG-13900,Emily Grady,Consumer
EH-13945,Eric Hoffmann,Consumer
EH-13990,Erica Hackney,Consumer
EH-14185,Evan Henry,Consumer
EJ-13720,Ed Jacobs,Consumer
EJ-14155,Eva Jacobs,Consumer
EM-13960,Eric Murdock,Consumer
EM-14065,Erin Mull,Consumer
EN-13780,Edward Nazzal,Consumer
EP-13915,Emily Phan,Consumer
ES-14020,Erica Smith,Consumer
FH-14350,Fred Harton,Consumer
FM-14380,Fred McMath,Consumer
FO-14305,Frank Olsen,Consumer
FP-14320,Frank Preis,Consumer
GA-14515,George Ashbrook,Consumer
GA-14725,Guy Armstrong,Consumer
GB-14575,Giulietta Baptist,Consumer
GH-14425,Gary Hwang,Consumer
GH-14665,Greg Hansen,Consumer
GM-14440,Gary McGarr,Consumer
GM-14500,Gene McClure,Consumer
GM-14680,Greg Matthias,Consumer
GT-14710,Greg Tran,Consumer
